source,entity_type,credential_type,credential_number,linked_licensee_number,name,abn_acn,locality,state,postcode,start_date,end_date,status,latitude,longitude,distance_km,dataset_url
asic_credit_representative,representative,credit_rep,542677,517192,"DONOVAN, RYAN",,MOUNT WAVERLEY,VIC,3149,2024-01-22,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv
asic_credit_representative,representative,credit_rep,542709,391611,"OOMS, ASAHI",,TRUGANINA,VIC,3029,2022-08-30,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv
asic_credit_representative,representative,credit_rep,542722,384704,JUSCELINA DRIVE PTY LTD,49660543662,CRAIGIEBURN,VIC,3064,2022-08-30,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv
asic_credit_representative,representative,credit_rep,542735,389087,PARK ROAD FINANCE PTY LTD,20661720403,PARK ORCHARDS,VIC,3114,2023-06-19,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv
asic_credit_representative,representative,credit_rep,542741,517192,BJR FINANCE PTY LTD,56651697700,NEWPORT,VIC,3015,2025-07-28,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv
asic_credit_representative,representative,credit_rep,542744,389087,"SINGH, JASWANT",,KALKALLO,VIC,3064,2023-11-15,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv
asic_credit_representative,representative,credit_rep,542746,389574,"HILL, LORETTA ANNE",,MELBOURNE,VIC,3004,2022-08-31,,APPR,-37.8142454,144.9631732,0.07,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv
asic_credit_representative,representative,credit_rep,542747,389574,"BREMNER, MARK ANDREW",,MELBOURNE,VIC,3004,2022-08-31,,APPR,-37.8142454,144.9631732,0.07,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv
asic_credit_representative,representative,credit_rep,542749,519912,"SINGH, RANJEET",,SOUTH MORANG,VIC,3752,2022-08-31,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv
asic_credit_representative,representative,credit_rep,542750,389087,"SINGH, SURJIT",,TARNEIT,VIC,3029,2022-08-31,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv
asic_credit_representative,representative,credit_rep,542758,382869,"TAVETE, SARA ANNE",,RICHMOND,VIC,3121,2022-08-31,,APPR,-37.8203955,145.0025153,3.54,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv
asic_credit_representative,representative,credit_rep,542769,505163,"RYAN, SAMANTHA LEE",,MELBOURNE,VIC,3000,2022-08-31,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv
asic_credit_representative,representative,credit_rep,542778,393195,REIDY PROPERTY PTY LTD,636840821,LEONGATHA,VIC,3953,2022-09-01,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv
asic_credit_representative,representative,credit_rep,542784,490158,"WAN, FANG",,BLACKBURN,VIC,3130,2022-09-01,,APPR,-37.8244246,145.0317207,6.15,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv
asic_credit_representative,representative,credit_rep,542785,509484,"RUSINGA, TINASHE",,SOUTH MELBOURNE,VIC,3205,2023-05-30,,APPR,-37.8142454,144.9631732,0.07,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv
asic_credit_representative,representative,credit_rep,542803,382869,"BARRETT, TANYA MAUREEN",,RICHMOND,VIC,3121,2022-09-02,,APPR,-37.8203955,145.0025153,3.54,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv
asic_credit_representative,representative,credit_rep,542804,389328,BALMAGHIE PTY LTD,14627981980,SOUTH YARRA,VIC,3141,2022-09-02,,APPR,-37.8142454,144.9631732,0.07,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv
asic_credit_representative,representative,credit_rep,542813,389328,"VALENTE, DANIEL",,SEDDON,VIC,3011,2022-09-02,,APPR,-37.8142454,144.9631732,0.07,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv
asic_credit_representative,representative,credit_rep,542816,382869,"LA ROCCA, MATTHEW JOSEPH",,HOPPERS CROSSING,VIC,3029,2022-09-02,,APPR,-37.8203955,145.0025153,3.54,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv
asic_credit_representative,representative,credit_rep,542817,481374,"SINGH, VIKRAMJEET",,CLYDE NORTH,VIC,3978,2025-08-27,,APPR,-37.8203955,145.0025153,3.54,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv
asic_credit_representative,representative,credit_rep,542837,384704,VIZVA FINANCE PTY LTD,52661057647,RINGWOOD,VIC,3134,2022-09-05,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv
asic_credit_representative,representative,credit_rep,542838,384704,"POOJA, POOJA",,RINGWOOD,VIC,3134,2022-09-05,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv
asic_credit_representative,representative,credit_rep,542839,384408,LEENA FINANCE PTY LTD,70661665612,MELBOURNE,VIC,3004,2023-07-17,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv
asic_credit_representative,representative,credit_rep,542840,385325,LINDSAY CORPORATION PTY LTD,165825427,RICHMOND,VIC,3121,2022-09-05,,APPR,-37.8203955,145.0025153,3.54,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv
asic_credit_representative,representative,credit_rep,542843,389328,FLOORS & FITTINGS PTY LTD,95632238834,TARNEIT,VIC,3029,2022-09-05,,APPR,-37.8142454,144.9631732,0.07,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv
asic_credit_representative,representative,credit_rep,542847,519912,ARZAAN INVESTMENTS PTY LTD,59645592365,SOUTH MORANG,VIC,3752,2022-08-31,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv
asic_credit_representative,representative,credit_rep,542854,384704,THE TRUSTEE FOR NAQVI FAMILY TRUST,69702170073,MELBOURNE,VIC,3004,2022-09-05,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv
asic_credit_representative,representative,credit_rep,542859,392272,"KELADA, JAMES",,MELBOURNE,VIC,3004,2022-09-05,,APPR,-37.8142454,144.9631732,0.07,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv
asic_credit_representative,representative,credit_rep,542878,396715,"YU, JIA",,BOX HILL,VIC,3128,2022-09-06,,APPR,-37.8215116,145.1261267,14.35,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv
asic_credit_representative,representative,credit_rep,542882,384704,THE TRUSTEE FOR WINGS WEALTH TRUST,99336907954,FRANKSTON,VIC,3199,2022-09-06,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv
asic_credit_representative,representative,credit_rep,542885,486326,"TONG, SIU PO",,MELBOURNE,VIC,3004,2022-09-06,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv
asic_credit_representative,representative,credit_rep,542886,382869,BRITER FINANCE PTY LTD,27660188858,RICHMOND,VIC,3121,2022-09-06,,APPR,-37.8203955,145.0025153,3.54,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv
asic_credit_representative,representative,credit_rep,542893,389620,REAZZI PTY LTD,98657580535,FERNTREE GULLY,VIC,3156,2022-09-07,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv
asic_credit_representative,representative,credit_rep,542910,364340,"APERGIS, STEFANOS",,PORT MELBOURNE,VIC,3207,2024-09-03,,APPR,-37.8142454,144.9631732,0.07,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv
asic_credit_representative,representative,credit_rep,542948,389328,CALIDONNA PTY LTD,97621345579,BURNSIDE HEIGHTS,VIC,3023,2022-09-09,,APPR,-37.8142454,144.9631732,0.07,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv
asic_credit_representative,representative,credit_rep,542950,384704,BEFREE FINANCE PTY LTD,83652562064,FRASER RISE,VIC,3336,2022-09-09,,,,,,https://data.gov.au/data/dataset/a3b6d445-3a00-409a-8b49-53dc62b823bf/resource/c0129755-efab-4850-b73d-810c71a4bfd6/download/credit_rep_202602.tsv
