source,entity_type,credential_type,credential_number,linked_licensee_number,name,abn_acn,locality,state,postcode,start_date,end_date,status,latitude,longitude,distance_km,dataset_url
asic_credit_licensee,licensee,acl,505017,505017,"PHAM, HUY",23260095815,ALBANS,VIC,3021,2018-07-04,,APPR,-37.7445766,144.799702346884,16.28,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
asic_credit_licensee,licensee,acl,505460,505460,AW FINANCIAL SERVICES PTY LTD,94623716825,GEELONG,VIC,3220,2018-04-18,,APPR,-38.1493248,144.3598241,64.72,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
asic_credit_licensee,licensee,acl,505578,505578,T.P.R.E. LTD,54623138241,MELBOURNE,VIC,3000,2019-09-20,,APPR,-37.8142454,144.9631732,0.07,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
asic_credit_licensee,licensee,acl,505848,505848,PETANCA PTY LTD,70618595994,NUNAWADING,VIC,3131,2018-04-27,,APPR,-37.82050305,145.175133241587,18.64,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
asic_credit_licensee,licensee,acl,505901,505901,SUNBOW FINANCE PTY. LTD.,39611822916,MELBOURNE,VIC,3000,2018-08-03,,APPR,-37.8142454,144.9631732,0.07,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
asic_credit_licensee,licensee,acl,505986,505986,FLEXI CREDIT AUSTRALIA PTY LTD,34623275052,GISBORNE,VIC,3437,2018-10-05,,APPR,-37.486723,144.5904237,48.97,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
asic_credit_licensee,licensee,acl,506779,506779,THE BROKER TEAM PTY LTD,141020420,BENDIGO,VIC,3550,2018-04-27,,APPR,-36.7590183,144.2826718,131.81,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
asic_credit_licensee,licensee,acl,507256,507256,M3HOL PTY LTD,52622566447,BUNDOORA,VIC,3083,2018-09-27,,APPR,-37.6982468,145.0596757,15.38,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
asic_credit_licensee,licensee,acl,507411,507411,ERN (AUST) PTY LTD,18095939530,SOUTH MORANG,VIC,3752,2018-08-07,,APPR,-37.64924405,145.067245009866,20.44,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
asic_credit_licensee,licensee,acl,507616,507616,"BATZIOS, CHRIS",15786658490,CAULFIELD SOUTH,VIC,3162,2018-10-23,,APPR,-37.894699,145.0249323,10.53,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
